title,category,price_gbp,price_inr,rating,in_stock,url
It's Only the Himalayas,Travel,45.17,4765.44,2,True,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,5214.86,4,True,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,5155.78,3,True,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,3897.17,2,True,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,Travel,37.33,3938.31,3,True,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,Travel,44.34,4677.87,2,True,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,Travel,30.54,3221.97,1,True,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),Travel,56.88,6000.84,4,True,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,2448.66,1,True,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,Travel,38.95,4109.23,3,True,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",Travel,26.08,2751.44,5,True,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,Mystery,47.82,5045.01,4,True,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Mystery,19.63,2070.96,1,True,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Mystery,56.5,5960.75,4,True,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,Mystery,16.64,1755.52,1,True,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4652.55,4,True,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Mystery,54.21,5719.15,2,True,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Mystery,13.92,1468.56,1,True,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1127.79,1,True,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Mystery,48.35,5100.93,5,True,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,1765.02,2,True,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Mystery,26.8,2827.4,3,True,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,5734.98,4,True,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,Mystery,35.28,3722.04,3,True,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Mystery,11.84,1249.12,1,True,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),Mystery,59.48,6275.14,3,True,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,Mystery,27.26,2875.93,2,True,https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,Mystery,13.71,1446.41,3,True,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,2676.54,5,True,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,True,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,2203.89,4,True,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Tipping the Velvet,Historical Fiction,53.74,5669.57,1,True,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3132.3,3,True,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5858.41,5,True,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,Historical Fiction,36.95,3898.23,1,True,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,Historical Fiction,30.25,3191.38,5,True,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,Historical Fiction,28.08,2962.44,4,True,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,4836.12,3,True,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",Historical Fiction,20.55,2168.03,2,True,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
